"year" "value"
1860 63.53914286
1861 63.08214286
1862 62.37671429
1863 63.72914286
1864 63.33614286
1865 63.48171429
1866 64.01185714
1867 63.42685714
1868 63.33914286
1869 63.34728571
1870 63.449
1871 62.889
1872 62.77542857
1873 63.06171429
1874 63.369
1875 63.265
1876 63.723
1877 63.39271429
1878 63.04457143
1879 63.38714286
1880 63.64828571
1881 62.79057143
1882 62.35342857
1883 63.50042857
1884 63.49014286
1885 63.38557143
1886 64.17957143
1887 63.57342857
1888 63.39342857
1889 63.535
1890 63.51228571
1891 63.015
1892 62.853
1893 62.87371429
1894 63.30285714
1895 63.07771429
1896 63.423
1897 63.10857143
1898 62.65628571
1899 63.14371429
1900 63.63214286
1901 63.11957143
1902 61.92157143
1903 63.65842857
1904 63.45842857
1905 63.079
1906 64.579
1907 63.69914286
1908 63.40571429
1909 63.58257143
1910 63.44171429
1911 62.88714286
1912 62.54614286
1913 62.61657143
1914 63.38128571
1915 62.93914286
1916 63.60542857
1917 63.31142857
1918 62.72885714
1919 63.02528571
1920 63.84985714
1921 63.85785714
1922 62.947
1923 63.84014286
1924 62.36971429
1925 63.49442857
1926 62.99857143
1927 63.44342857
1928 62.45142857
1929 62.21428571
1930 63.53242857
1931 63.00942857
1932 63.08971429
1933 63.00228571
1934 63.34214286
1935 62.69314286
1936 63.11771429
1937 63.127
1938 62.998
1939 63.95642857
1940 63.31085714
1941 63.87642857
1942 63.757
1943 63.366
1944 63.249
1945 63.12485714
1946 63.36028571
1947 63.79314286
1948 63.39642857
1949 62.88971429
1950 63.72828571
1951 62.972
1952 62.75242857
1953 63.51828571
1954 63.33571429
1955 64.097
1956 64.128
1957 63.84257143
1958 63.41185714
1959 63.35414286
1960 63.453
1961 63.15928571
1962 63.10571429
1963 63.687
1964 62.73871429
1965 61.34071429
1966 62.90414286
1967 63.45671429
1968 63.67842857
1969 62.87857143
1970 62.05185714
1971 62.96514286
1972 62.31842857
1973 64.10142857
1974 65.03571429
1975 64.27914286
1976 64.11557143
1977 63.72957143
1978 64.48742857
1979 63.52685714
1980 62.351
1981 63.96828571
1982 62.75357143
1983 62.49614286
1984 63.01642857
1985 62.55642857
1986 62.45471429
1987 62.05485714
1988 63.10885714
1989 63.07742857
1990 63.28771429
1991 62.63614286
1992 61.625
1993 62.694
1994 61.77071429
1995 62.48742857
1996 62.23142857
1997 63.739
1998 63.90071429
1999 63.51414286
2000 64.25114286
2001 63.408
2002 61.74057143
2003 62.55714286
2004 63.11828571
2005 62.15842857
2006 63.27728571
2007 62.77428571
2008 62.84728571
2009 62.93742857
2010 64.69828571
2011 64.38871429
2012 63.08185714
2013 63.45142857
2014 63.48985714
2015 62.79471429
