"year" "value"
1860 1320.142857
1861 1319.885714
1862 1319.642857
1863 1319.271429
1864 1319.242857
1865 1319.157143
1866 1318.771429
1867 1319.028571
1868 1318.942857
1869 1318.871429
1870 1318.928571
1871 1319.1
1872 1318.957143
1873 1319.157143
1874 1319.157143
1875 1318.871429
1876 1318.742857
1877 1319.214286
1878 1319.528571
1879 1319.242857
1880 1319.085714
1881 1319.014286
1882 1318.814286
1883 1318.6
1884 1318.757143
1885 1318.614286
1886 1318.528571
1887 1318.914286
1888 1318.9
1889 1318.957143
1890 1319.157143
1891 1319.5
1892 1319.471429
1893 1319.642857
1894 1319.571429
1895 1319.585714
1896 1319.728571
1897 1320.314286
1898 1320.842857
1899 1320.557143
1900 1320.471429
1901 1320.5
1902 1320.5
1903 1320.442857
1904 1320.628571
1905 1320.485714
1906 1320.214286
1907 1320.471429
1908 1320.657143
1909 1320.857143
1910 1321.128571
1911 1321.628571
1912 1321.985714
1913 1322.342857
1914 1322.542857
1915 1322.728571
1916 1322.885714
1917 1323.542857
1918 1324.114286
1919 1323.885714
1920 1324
1921 1324.085714
1922 1324.271429
1923 1324.328571
1924 1324.585714
1925 1324.857143
1926 1324.971429
1927 1325.114286
1928 1325.2
1929 1325.357143
1930 1325.428571
1931 1325.271429
1932 1325.185714
1933 1325.4
1934 1325.771429
1935 1326.114286
1936 1326.214286
1937 1326.285714
1938 1326.242857
1939 1326.4
1940 1326.642857
1941 1326.671429
1942 1326.885714
1943 1327.142857
1944 1327.285714
1945 1327.442857
1946 1327.671429
1947 1327.814286
1948 1328.128571
1949 1328.357143
1950 1328.828571
1951 1329.457143
1952 1329.6
1953 1329.485714
1954 1329.885714
1955 1330.428571
1956 1331.385714
1957 1332.114286
1958 1332.428571
1959 1332.9
1960 1333.514286
1961 1333.885714
1962 1334.485714
1963 1335.071429
1964 1335.771429
1965 1336.528571
1966 1336.671429
1967 1336.857143
1968 1337.614286
1969 1338.057143
1970 1338.228571
1971 1338.771429
1972 1339.442857
1973 1339.271429
1974 1340.185714
1975 1341.042857
1976 1342.242857
1977 1343.014286
1978 1343.714286
1979 1344.628571
1980 1345.028571
1981 1345.242857
1982 1345.814286
1983 1345.928571
1984 1346.257143
1985 1346.814286
1986 1347.357143
1987 1347.757143
1988 1347.885714
1989 1348.685714
1990 1349.1
1991 1349.671429
1992 1350.657143
1993 1351.571429
1994 1352.185714
1995 1352.485714
1996 1353.257143
1997 1354.028571
1998 1354.2
1999 1354.885714
2000 1355.742857
2001 1356.557143
2002 1357.085714
2003 1357.3
2004 1358.057143
2005 1358.771429
2006 1359.428571
2007 1360.1
2008 1361.057143
2009 1361.942857
2010 1362.485714
2011 1363.542857
2012 1364.4
2013 1365
2014 1365.814286
2015 1366.514286
