"year" "value"
1860 -0.954042857
1861 -1.274214286
1862 -1.092357143
1863 -0.2608
1864 -0.302085714
1865 -0.6589
1866 -0.200671429
1867 -0.232185714
1868 -0.423414286
1869 -0.499357143
1870 -0.208085714
1871 -0.579014286
1872 -0.375371429
1873 -0.362914286
1874 -0.5938
1875 -0.4455
1876 0.061542857
1877 0.466542857
1878 -0.437857143
1879 -0.6643
1880 -0.740185714
1881 -1.176642857
1882 -0.800085714
1883 -0.181385714
1884 0.14
1885 -0.767542857
1886 0.100642857
1887 -0.061214286
1888 -0.198728571
1889 -0.1035
1890 0.194857143
1891 -0.519214286
1892 -0.188314286
1893 -0.354628571
1894 -0.5505
1895 -0.506885714
1896 0.343957143
1897 0.461242857
1898 -0.399871429
1899 -0.728457143
1900 -0.680357143
1901 -0.856342857
1902 -1.158428571
1903 0.270228571
1904 0.725228571
1905 -0.831771429
1906 0.275314286
1907 0.217271429
1908 0.1649
1909 -0.048371429
1910 0.504457143
1911 -0.614985714
1912 -0.076214286
1913 -0.128814286
1914 -0.551642857
1915 -0.366914286
1916 0.387314286
1917 0.899385714
1918 -0.1299
1919 -0.693985714
1920 0.063557143
1921 0.109657143
1922 -0.553085714
1923 0.5002
1924 -0.557457143
1925 -0.068857143
1926 -0.910914286
1927 0.300485714
1928 -0.727271429
1929 -0.670385714
1930 -0.394985714
1931 -1.205614286
1932 -0.249142857
1933 -0.096957143
1934 0.188128571
1935 -0.317714286
1936 -0.813514286
1937 -0.478314286
1938 -0.340442857
1939 -0.0313
1940 -0.627942857
1941 -0.931114286
1942 -0.6026
1943 -0.523314286
1944 -1.305242857
1945 -0.612742857
1946 -0.503171429
1947 -0.1287
1948 0.281028571
1949 -0.493742857
1950 1.038385714
1951 -0.154071429
1952 -1.019585714
1953 -0.166057143
1954 0.162085714
1955 1.006028571
1956 2.042514286
1957 -0.429342857
1958 -1.157057143
1959 -0.348657143
1960 0.390928571
1961 -0.035542857
1962 0.446028571
1963 0.124514286
1964 0.720171429
1965 -0.468042857
1966 -0.0679
1967 0.734214286
1968 1.083628571
1969 -0.562928571
1970 -0.458271429
1971 1.4365
1972 -0.091071429
1973 0.458728571
1974 3.126814286
1975 1.423442857
1976 2.101585714
1977 0.730257143
1978 1.736714286
1979 0.037285714
1980 -0.338314286
1981 1.030642857
1982 0.211457143
1983 -1.165271429
1984 1.136928571
1985 1.037271429
1986 0.579957143
1987 -0.881314286
1988 0.587371429
1989 1.890442857
1990 0.670071429
1991 0.821128571
1992 0.515671429
1993 1.5741
1994 0.482371429
1995 0.315042857
1996 1.760442857
1997 1.449314286
1998 0.3271
1999 2.079514286
2000 2.455771429
2001 1.180028571
2002 -0.236485714
2003 0.6723
2004 2.1027
2005 0.545328571
2006 1.706285714
2007 1.820757143
2008 2.458985714
2009 1.443171429
2010 0.9184
2011 2.214414286
2012 0.5245
2013 1.433242857
2014 1.884971429
2015 -0.173942857
