"year" "value"
1860 47.412
1861 47.317
1862 46.64828571
1863 47.95128571
1864 47.85014286
1865 47.76014286
1866 48.06714286
1867 47.78642857
1868 47.84871429
1869 47.83214286
1870 48.14642857
1871 47.40142857
1872 47.72142857
1873 47.82785714
1874 47.90271429
1875 48.09742857
1876 48.63357143
1877 48.95485714
1878 48.36814286
1879 48.17528571
1880 48.29
1881 47.53285714
1882 47.26885714
1883 48.40485714
1884 48.53028571
1885 48.11971429
1886 48.87542857
1887 48.61585714
1888 48.686
1889 48.84671429
1890 49.20457143
1891 48.59285714
1892 48.58785714
1893 48.46757143
1894 48.63042857
1895 48.75242857
1896 49.38771429
1897 49.67057143
1898 48.91442857
1899 48.67928571
1900 48.87242857
1901 48.31471429
1902 47.47614286
1903 49.36528571
1904 49.57614286
1905 48.67171429
1906 49.96285714
1907 49.30485714
1908 49.51928571
1909 49.573
1910 50.15757143
1911 49.109
1912 49.12742857
1913 49.23871429
1914 49.24685714
1915 49.47457143
1916 50.27957143
1917 50.70457143
1918 49.91642857
1919 49.68228571
1920 50.29614286
1921 50.56385714
1922 49.88642857
1923 51.196
1924 49.653
1925 50.59385714
1926 49.83242857
1927 51.11442857
1928 49.87042857
1929 49.69857143
1930 50.196
1931 49.56185714
1932 50.67414286
1933 50.54114286
1934 51.10285714
1935 50.68842857
1936 50.37914286
1937 51.171
1938 51.31471429
1939 51.30857143
1940 50.66985714
1941 50.75885714
1942 50.79214286
1943 51.22757143
1944 50.60242857
1945 51.03428571
1946 51.21957143
1947 51.87128571
1948 52.67414286
1949 51.54042857
1950 53.09585714
1951 52.34171429
1952 51.65342857
1953 52.98485714
1954 52.95214286
1955 54.00214286
1956 55.17385714
1957 53.36514286
1958 52.59114286
1959 53.24257143
1960 53.96871429
1961 53.684
1962 53.969
1963 53.80285714
1964 53.85528571
1965 52.48757143
1966 53.75242857
1967 54.342
1968 54.79385714
1969 53.422
1970 53.51771429
1971 54.99014286
1972 53.72057143
1973 55.32657143
1974 57.56957143
1975 56.81371429
1976 56.54257143
1977 56.43971429
1978 57.24428571
1979 55.94285714
1980 55.255
1981 57.36614286
1982 55.83557143
1983 54.84114286
1984 57.02942857
1985 56.675
1986 56.46928571
1987 55.03628571
1988 56.96828571
1989 58.37557143
1990 57.91342857
1991 57.28071429
1992 56.05514286
1993 57.76742857
1994 57.19014286
1995 57.41657143
1996 58.32814286
1997 58.99585714
1998 58.84642857
1999 59.84371429
2000 60.951
2001 59.71514286
2002 57.80842857
2003 59.18057143
2004 60.59385714
2005 59.35442857
2006 60.73857143
2007 61.24028571
2008 61.80171429
2009 61.00914286
2010 61.25671429
2011 62.02585714
2012 60.77385714
2013 61.57857143
2014 62.01514286
2015 60.26842857
