"year" "value"
1860 461.8471429
1861 461.0242857
1862 460.1857143
1863 460.4142857
1864 460.3757143
1865 460.3542857
1866 460.3014286
1867 459.8728571
1868 459.6414286
1869 459.3585714
1870 459.17
1871 458.5371429
1872 458.3128571
1873 457.7957143
1874 457.4271429
1875 457.55
1876 457.3957143
1877 457.02
1878 456.9657143
1879 456.7628571
1880 456.4614286
1881 455.7442857
1882 455.1214286
1883 455.2914286
1884 455.0814286
1885 454.9171429
1886 454.8157143
1887 454.6928571
1888 454.7085714
1889 454.7214286
1890 454.7228571
1891 454.3471429
1892 454.2257143
1893 453.8028571
1894 453.5657143
1895 453.5614286
1896 453.4057143
1897 452.8471429
1898 452.5385714
1899 452.3457143
1900 452.0942857
1901 451.24
1902 450.49
1903 450.1271429
1904 450.6485714
1905 450.5242857
1906 450.7385714
1907 450.5614286
1908 450.5042857
1909 450.3885714
1910 450.4685714
1911 450.0857143
1912 449.6685714
1913 449.5742857
1914 449.3485714
1915 448.9857143
1916 448.7914286
1917 449.0714286
1918 448.8585714
1919 448.73
1920 448.7057143
1921 448.9114286
1922 448.4757143
1923 448.69
1924 448.5457143
1925 448.1928571
1926 447.8771429
1927 447.7985714
1928 447.52
1929 446.7728571
1930 446.6471429
1931 445.9814286
1932 445.7114286
1933 445.34
1934 445.3214286
1935 445.0814286
1936 444.3857143
1937 443.8328571
1938 443.6342857
1939 443.5771429
1940 443.01
1941 442.2614286
1942 441.5742857
1943 441.0385714
1944 440.4328571
1945 439.4914286
1946 439.2142857
1947 438.8014286
1948 438.9614286
1949 438.6814286
1950 438.92
1951 438.6071429
1952 437.8328571
1953 437.6885714
1954 437.6471429
1955 437.8057143
1956 438.1128571
1957 438.24
1958 437.36
1959 436.5342857
1960 436.3142857
1961 436.1771429
1962 436.0314286
1963 435.8214286
1964 435.1971429
1965 435.0557143
1966 434.83
1967 434.9728571
1968 435.1142857
1969 434.6742857
1970 434.1457143
1971 434.6071429
1972 434.7857143
1973 434.8242857
1974 436.2785714
1975 436.9542857
1976 437.5
1977 437.5928571
1978 438.1
1979 438.1914286
1980 437.7271429
1981 438.4371429
1982 438.5842857
1983 438.0257143
1984 438.0271429
1985 438.5085714
1986 438.8485714
1987 438.5614286
1988 438.4557143
1989 439.2385714
1990 440.0628571
1991 440.6114286
1992 440.4414286
1993 441.1071429
1994 441.7171429
1995 442.0285714
1996 442.6457143
1997 444.0214286
1998 444.5071429
1999 445.1885714
2000 446.4957143
2001 447.2542857
2002 447.4757143
2003 447.6242857
2004 448.5857143
2005 449.2171429
2006 450.2614286
2007 451.5114286
2008 452.5814286
2009 453.8614286
2010 454.04
2011 454.9214286
2012 455.4371429
2013 455.94
2014 457.06
2015 457.5542857
